COUNTRY_ID,country,year,p.mean,p.lower,p.upper
LAO,Laos,2019,0.687391665,0.110512102,0.995610702
LKA,Sri Lanka,1990,0.074603617,2.25E-05,0.572353268
LKA,Sri Lanka,1991,0.076123094,2.57E-05,0.56634064
LKA,Sri Lanka,1992,0.079183073,3.85E-05,0.572161383
LKA,Sri Lanka,1993,0.089166517,5.55E-05,0.582360444
LKA,Sri Lanka,1994,0.087639445,6.35E-05,0.564038151
LKA,Sri Lanka,1995,0.106277793,0.000110899,0.637007966
LKA,Sri Lanka,1996,0.132567744,0.000185186,0.725242533
LKA,Sri Lanka,1997,0.157567373,0.000268201,0.810448853
LKA,Sri Lanka,1998,0.21930573,0.000668108,0.894349027
LKA,Sri Lanka,1999,0.29625611,0.001754365,0.934162747
LKA,Sri Lanka,2000,0.476367837,0.007082482,0.984029245
LKA,Sri Lanka,2001,0.625044542,0.028844434,0.995931364
LKA,Sri Lanka,2002,0.740174469,0.092793162,0.998588703
LKA,Sri Lanka,2003,0.809655704,0.152620522,0.999429013
LKA,Sri Lanka,2004,0.849434202,0.217746208,0.999613112
LKA,Sri Lanka,2005,0.863507237,0.258036061,0.999667704
LKA,Sri Lanka,2006,0.864893282,0.227180971,0.999759817
LKA,Sri Lanka,2007,0.874182893,0.288221127,0.999689826
LKA,Sri Lanka,2008,0.897391709,0.398282317,0.999842253
LKA,Sri Lanka,2009,0.911089416,0.441313314,0.999885559
LKA,Sri Lanka,2010,0.911864967,0.423684202,0.999842004
LKA,Sri Lanka,2011,0.919173665,0.452818005,0.999890669
LKA,Sri Lanka,2012,0.926781923,0.488725709,0.999904576
LKA,Sri Lanka,2013,0.934036802,0.482597398,0.999920013
LKA,Sri Lanka,2014,0.932992385,0.554284443,0.99992846
LKA,Sri Lanka,2015,0.935588767,0.558639587,0.999941844
LKA,Sri Lanka,2016,0.933565946,0.490016416,0.999941538
LKA,Sri Lanka,2017,0.938464744,0.502454424,0.999957517
LKA,Sri Lanka,2018,0.944823828,0.549031032,0.999978389
LKA,Sri Lanka,2019,0.949837485,0.588337482,0.999975869
MMR,Myanmar,1990,0.065688323,9.18E-05,0.446162376
MMR,Myanmar,1991,0.081279355,9.38E-05,0.485511165
MMR,Myanmar,1992,0.088010026,0.000172496,0.485856416
MMR,Myanmar,1993,0.093794179,0.000337761,0.498121866
MMR,Myanmar,1994,0.111106802,0.000443505,0.542930943
MMR,Myanmar,1995,0.127354827,0.000784111,0.600258202
MMR,Myanmar,1996,0.249942824,0.004473155,0.852230077
MMR,Myanmar,1997,0.159668079,0.001605488,0.683277183
MMR,Myanmar,1998,0.291169264,0.006971874,0.860075313
MMR,Myanmar,1999,0.201524175,0.003681205,0.766443209
MMR,Myanmar,2000,0.319215549,0.00930869,0.869837338
MMR,Myanmar,2001,0.255604612,0.00497467,0.819027635
MMR,Myanmar,2002,0.348218375,0.012007527,0.910712485
MMR,Myanmar,2003,0.367287469,0.016108261,0.92329658
MMR,Myanmar,2004,0.373781324,0.012343127,0.934626567
MMR,Myanmar,2005,0.373559492,0.014150666,0.923520698
MMR,Myanmar,2006,0.357832462,0.01233952,0.91364056
MMR,Myanmar,2007,0.355974345,0.012236085,0.908437081
