location,year,AWARE,"DDD/1,000/day",proportion
Kazakhstan,2014,Other,0.238,0.014
Kazakhstan,2014,Reserve,0,0
Kazakhstan,2015,Access,10.438,0.586
Kazakhstan,2015,Watch,7.158,0.402
Kazakhstan,2015,Other,0.225,0.013
Kazakhstan,2015,Reserve,0,0
Kazakhstan,2016,Access,11.847,0.594
Kazakhstan,2016,Watch,7.884,0.395
Kazakhstan,2016,Other,0.223,0.011
Kazakhstan,2016,Reserve,0,0
Kazakhstan,2017,Access,10.22,0.555
Kazakhstan,2017,Watch,8.003,0.435
Kazakhstan,2017,Other,0.191,0.01
Kazakhstan,2017,Reserve,0,0
Kazakhstan,2018,Access,8.779,0.539
Kazakhstan,2018,Watch,7.384,0.453
Kazakhstan,2018,Other,0.123,0.008
Kazakhstan,2018,Reserve,0,0
Bosnia and Herzegovina,2011,Access,14.722,0.746
Bosnia and Herzegovina,2011,Watch,5.022,0.254
Bosnia and Herzegovina,2011,Reserve,0,0
Bosnia and Herzegovina,2012,Access,14.504,0.74
Bosnia and Herzegovina,2012,Watch,5.103,0.26
Bosnia and Herzegovina,2012,Reserve,0,0
Bosnia and Herzegovina,2013,Access,16.847,0.745
Bosnia and Herzegovina,2013,Watch,5.778,0.255
Bosnia and Herzegovina,2013,Reserve,0,0
Bosnia and Herzegovina,2014,Access,12.267,0.68
Bosnia and Herzegovina,2014,Reserve,0,0
Bosnia and Herzegovina,2014,Watch,5.781,0.32
Bosnia and Herzegovina,2015,Access,12.409,0.672
Bosnia and Herzegovina,2015,Reserve,0,0
Bosnia and Herzegovina,2015,Watch,6.052,0.328
Bosnia and Herzegovina,2016,Access,12.046,0.668
Bosnia and Herzegovina,2016,Reserve,0,0
Bosnia and Herzegovina,2016,Watch,5.988,0.332
Bosnia and Herzegovina,2017,Access,11.53,0.655
Bosnia and Herzegovina,2017,Reserve,0,0
Bosnia and Herzegovina,2017,Watch,6.073,0.345
Bosnia and Herzegovina,2018,Access,11.138,0.63
